instance,family,sumw,alpha,W,kg,ko,gap_pct,tg_ms,to_ms
6,subset,53865,0.300000,16159,18,18,0.000000,0.004000,0.006000
6,subset,53865,0.500000,26932,32,32,0.000000,0.004000,0.006000
6,subset,53865,0.700000,37705,49,49,0.000000,0.004000,0.005000
7,subset,48382,0.300000,14514,17,17,0.000000,0.004000,0.006000
7,subset,48382,0.500000,24191,29,29,0.000000,0.004000,0.006000
7,subset,48382,0.700000,33867,45,45,0.000000,0.004000,0.006000
8,subset,53782,0.300000,16134,18,18,0.000000,0.004000,0.006000
8,subset,53782,0.500000,26891,32,32,0.000000,0.004000,0.006000
8,subset,53782,0.700000,37647,49,49,0.000000,0.003000,0.006000
9,subset,47795,0.300000,14338,16,16,0.000000,0.004000,0.005000
9,subset,47795,0.500000,23897,28,28,0.000000,0.004000,0.006000
9,subset,47795,0.700000,33456,43,43,0.000000,0.004000,0.006000
10,subset,49558,0.300000,14867,17,17,0.000000,0.004000,0.006000
10,subset,49558,0.500000,24779,29,29,0.000000,0.003000,0.005000
10,subset,49558,0.700000,34690,46,46,0.000000,0.004000,0.006000
11,subset,48232,0.300000,14469,17,17,0.000000,0.004000,0.006000
11,subset,48232,0.500000,24116,30,30,0.000000,0.004000,0.005000
11,subset,48232,0.700000,33762,47,47,0.000000,0.003000,0.005000
12,subset,48163,0.300000,14448,17,17,0.000000,0.004000,0.006000
12,subset,48163,0.500000,24081,30,30,0.000000,0.004000,0.006000
12,subset,48163,0.700000,33714,46,46,0.000000,0.004000,0.005000
13,subset,48753,0.300000,14625,17,17,0.000000,0.004000,0.006000
13,subset,48753,0.500000,24376,30,30,0.000000,0.003000,0.005000
13,subset,48753,0.700000,34127,47,47,0.000000,0.004000,0.006000
14,subset,46130,0.300000,13839,17,17,0.000000,0.004000,0.006000
14,subset,46130,0.500000,23065,29,29,0.000000,0.003000,0.005000
14,subset,46130,0.700000,32290,46,46,0.000000,0.004000,0.006000
15,subset,49002,0.300000,14700,17,17,0.000000,0.004000,0.006000
15,subset,49002,0.500000,24501,30,30,0.000000,0.004000,0.005000
15,subset,49002,0.700000,34301,46,46,0.000000,0.003000,0.006000
16,subset,51088,0.300000,15326,17,17,0.000000,0.004000,0.006000
16,subset,51088,0.500000,25544,30,30,0.000000,0.003000,0.006000
16,subset,51088,0.700000,35761,46,46,0.000000,0.004000,0.034000
17,subset,46829,0.300000,14048,16,16,0.000000,0.005000,0.008000
17,subset,46829,0.500000,23414,29,29,0.000000,0.005000,0.008000
17,subset,46829,0.700000,32780,44,44,0.000000,0.005000,0.008000
18,subset,43640,0.300000,13092,15,15,0.000000,0.005000,0.008000
18,subset,43640,0.500000,21820,27,27,0.000000,0.005000,0.008000
18,subset,43640,0.700000,30547,42,42,0.000000,0.006000,0.008000
19,subset,48667,0.300000,14600,17,17,0.000000,0.005000,0.008000
19,subset,48667,0.500000,24333,30,30,0.000000,0.005000,0.007000
19,subset,48667,0.700000,34066,45,45,0.000000,0.004000,0.006000
20,subset,50704,0.300000,15211,17,17,0.000000,0.004000,0.006000
20,subset,50704,0.500000,25352,31,31,0.000000,0.004000,0.005000
20,subset,50704,0.700000,35492,47,47,0.000000,0.004000,0.006000
1,simw,10004641,0.300000,3001392,30,30,0.000000,0.004000,0.007000
1,simw,10004641,0.500000,5002320,50,50,0.000000,0.004000,0.006000
1,simw,10004641,0.700000,7003248,70,70,0.000000,0.004000,0.006000
2,simw,10004574,0.300000,3001372,30,30,0.000000,0.004000,0.006000
2,simw,10004574,0.500000,5002287,50,50,0.000000,0.004000,0.006000
2,simw,10004574,0.700000,7003201,70,70,0.000000,0.004000,0.006000
3,simw,10005000,0.300000,3001500,30,30,0.000000,0.004000,0.006000
3,simw,10005000,0.500000,5002500,50,50,0.000000,0.003000,0.006000
3,simw,10005000,0.700000,7003500,70,70,0.000000,0.005000,0.006000
4,simw,10005088,0.300000,3001526,30,30,0.000000,0.004000,0.041000
4,simw,10005088,0.500000,5002544,50,50,0.000000,0.004000,0.005000
4,simw,10005088,0.700000,7003561,70,70,0.000000,0.004000,0.006000
5,simw,10005029,0.300000,3001508,30,30,0.000000,0.004000,0.005000
5,simw,10005029,0.500000,5002514,50,50,0.000000,0.004000,0.005000
5,simw,10005029,0.700000,7003520,70,70,0.000000,0.004000,0.006000
6,simw,10005346,0.300000,3001603,30,30,0.000000,0.003000,0.006000
6,simw,10005346,0.500000,5002673,50,50,0.000000,0.003000,0.006000
6,simw,10005346,0.700000,7003742,70,70,0.000000,0.004000,0.006000
7,simw,10004793,0.300000,3001437,30,30,0.000000,0.003000,0.006000
7,simw,10004793,0.500000,5002396,50,50,0.000000,0.004000,0.005000
7,simw,10004793,0.700000,7003355,70,70,0.000000,0.004000,0.006000
8,simw,10005194,0.300000,3001558,30,30,0.000000,0.004000,0.005000
8,simw,10005194,0.500000,5002597,50,50,0.000000,0.004000,0.006000
